race,gender,incar_duration,whether_incar
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Black,Male,0,0
Black,Male,0,0
Black,Male,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Black,Male,0,0
Black,Male,0,0
Black,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Black,Female,0,0
Hispanic,Male,0,0
Black,Female,0,0
Black,Male,0,0
Black,Female,0,0
Black,Female,0,0
Black,Female,0,0
Black,Female,0,0
Black,Male,0,0
Black,Male,0,0
Black,Female,0,0
Black,Female,0,0
Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Black,Male,0,0
Black,Male,0,0
Black,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Black,Female,0,0
Black,Male,0,0
Black,Female,0,0
Black,Male,0,0
Black,Male,0,0
Black,Male,0,0
Black,Male,0,0
Black,Male,0,0
Black,Female,0,0
Black,Male,0,0
Black,Male,0,0
Black,Female,0,0
Black,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Black,Male,0,0
Black,Female,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,5,1
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Hispanic,Male,0,0
Black,Female,0,0
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Hispanic,Male,0,0
Black,Female,0,0
Black,Female,0,0
Hispanic,Female,0,0
Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Female,0,0
Black,Male,0,0
Black,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Black,Male,0,0
Black,Male,0,0
Black,Male,0,0
Black,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Black,Female,0,0
Black,Female,0,0
Black,Male,0,0
Black,Female,0,0
Black,Male,0,0
Black,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Black,Female,0,0
Black,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Black,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Hispanic,Female,0,0
Black,Female,0,0
Hispanic,Female,0,0
Black,Male,6,1
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Mixed Race (Non-Hispanic),Male,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Black,Female,0,0
Mixed Race (Non-Hispanic),Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Hispanic,Male,0,0
Hispanic,Female,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Non-Black / Non-Hispanic,Male,0,0
Non-Black / Non-Hispanic,Female,0,0
Hispanic,Female,0,0
Hispanic,Male,0,0
Mixed Race (Non-Hispanic),Female,0,0
Hispanic,Male,0,0
